,week,match,w/l,pts,fg%,fg2m,fg2a,fg2%,fg3m,fg3a,fg3%,ftm,fta,ft%,dr,or,tr,ass,st,to,blk,blk_ag,fp,fd,val,team_name,match_link,team_id,season
371,11,Zlatibor-GGD Šenčur,L,75.0,40.8,24.0,43.0,55.8,5.0,28.0,17.9,12.0,17.0,70.6,15.0,13.0,28.0,16.0,13.0,11.0,0.0,2.0,26.0,16.0,62.0,KK Gorenjska gradbena družba Šenčur,/match/73/23/2/Boxscore/q1/1/home/zlatibor-mozzart-ggd-sencur/,88,2023/2024
372,12,GGD Šenčur-Široki,L,76.0,44.6,20.0,38.0,52.6,9.0,27.0,33.3,9.0,14.0,64.3,23.0,9.0,32.0,17.0,11.0,15.0,2.0,0.0,25.0,22.0,79.0,KK Gorenjska gradbena družba Šenčur,/match/82/23/2/Boxscore/q1/1/home/ggd-sencur-siroki-tt-kabeli/,88,2023/2024
373,13,Ced Jr.-GGD Šenčur,W,81.0,49.2,29.0,40.0,72.5,3.0,25.0,12.0,14.0,20.0,70.0,15.0,12.0,27.0,24.0,8.0,12.0,4.0,6.0,22.0,21.0,86.0,KK Gorenjska gradbena družba Šenčur,/match/88/23/2/Boxscore/q1/1/home/cedevita-junior-ggd-sencur/,88,2023/2024
374,1,MZT Skopje-Ced Jr.,W,92.0,51.7,19.0,27.0,70.4,12.0,33.0,36.4,18.0,20.0,90.0,28.0,8.0,36.0,19.0,9.0,19.0,1.0,0.0,22.0,21.0,106.0,KK Cedevita Junior,/match/5/23/2/Boxscore/q1/1/home/mzt-skopje-aerodrom-cedevita-junior/,90,2023/2024
375,2,Ced Jr.-Vojvodina,L,71.0,38.6,17.0,39.0,43.6,10.0,31.0,32.3,7.0,10.0,70.0,18.0,15.0,33.0,15.0,7.0,13.0,2.0,6.0,27.0,20.0,56.0,KK Cedevita Junior,/match/10/23/2/Boxscore/q1/1/home/cedevita-junior-vojvodina-mts/,90,2023/2024
376,3,TFT-Ced Jr.,L,68.0,40.7,16.0,34.0,47.1,6.0,20.0,30.0,18.0,22.0,81.8,24.0,6.0,30.0,14.0,2.0,17.0,4.0,3.0,21.0,21.0,62.0,KK Cedevita Junior,/match/20/23/2/Boxscore/q1/1/home/tft-mozzart-skopje-cedevita-junior/,90,2023/2024
377,4,Ced Jr.-Zlatibor,W,88.0,44.4,21.0,42.0,50.0,11.0,30.0,36.7,13.0,16.0,81.3,19.0,10.0,29.0,16.0,4.0,7.0,3.0,3.0,28.0,17.0,76.0,KK Cedevita Junior,/match/23/23/2/Boxscore/q1/1/home/cedevita-junior-zlatibor-mozzart/,90,2023/2024
378,5,Široki-Ced Jr.,L,65.0,43.9,18.0,37.0,48.6,7.0,20.0,35.0,8.0,13.0,61.5,27.0,6.0,33.0,19.0,2.0,13.0,4.0,0.0,23.0,21.0,71.0,KK Cedevita Junior,/match/35/23/2/Boxscore/q1/1/home/siroki-tt-kabeli-cedevita-junior/,90,2023/2024
379,6,Šibenka-Ced Jr.,L,69.0,37.7,13.0,38.0,34.2,10.0,23.0,43.5,13.0,15.0,86.7,22.0,7.0,29.0,20.0,2.0,9.0,4.0,5.0,16.0,16.0,70.0,KK Cedevita Junior,/match/36/23/2/Boxscore/q1/1/home/sibenka-cedevita-junior/,90,2023/2024
380,7,Ced Jr.-Pelister,W,78.0,54.4,26.0,36.0,72.2,5.0,21.0,23.8,11.0,14.0,78.6,26.0,6.0,32.0,24.0,8.0,21.0,5.0,0.0,22.0,20.0,95.0,KK Cedevita Junior,/match/49/23/2/Boxscore/q1/1/home/cedevita-junior-pelister-bitola/,90,2023/2024
